MYRON_COMPANY_CODE,orderno,ORD_REV_GRS_BOOK_W_OV,DATE_ENTERED,MYRON_ACCT,CODE_ENTRY_INITIALS
MY,116621749,249.45,6/5/20,13561108,41132
MY,116629155,249.45,6/8/20,7554152,42848
MY,116649757,249.45,6/11/20,6343702,41210
MY,116778903,249.45,7/1/20,6361259,42848
MY,116738923,249.46,6/25/20,11179009,41247
MY,116776121,249.5,7/1/20,7462141,43099
MY,116648197,249.75,6/11/20,8222057,43985
MY,116677840,249.9,6/17/20,6551390,42155
MY,116762907,249.9,6/30/20,29101417,43456
MY,116742438,250,6/26/20,14206664,43456
MY,116742487,250,6/26/20,14206664,43456
MY,116742529,250,6/26/20,14206664,43456
MY,116742537,250,6/26/20,14206664,43456
MY,116669326,250.51,6/16/20,28837120,42799
MY,116658519,251,6/12/20,16239755,42613
MY,116657149,251.52,6/12/20,14138107,43985
MY,116692302,251.65,6/19/20,26149884,43456
MY,116717455,251.7,6/23/20,8387927,41210
MY,116638313,251.71,6/9/20,26286051,43934
MY,116721069,252.51,6/24/20,29168610,43305
MY,116636358,252.54,6/9/20,10616600,43678
MY,116704982,252.6,6/22/20,29170145,44011
MY,116616491,252.61,6/4/20,464651,41247
MY,116619016,252.61,6/4/20,6358664,43945
MY,116631987,252.61,6/8/20,13809802,42495
MY,116632001,252.61,6/8/20,13809802,42495
MY,116639170,252.61,6/9/20,12750481,42799
MY,116667007,252.61,6/15/20,6764786,43574
MY,116673138,252.61,6/16/20,8311950,42882
MY,116676628,252.61,6/17/20,29139210,43934
MY,116712860,252.61,6/23/20,24009381,41210
MY,116713959,252.61,6/23/20,24009381,41210
MY,116713983,252.61,6/23/20,24009381,41210
MY,116714213,252.61,6/23/20,14149875,44018
MY,116716457,252.61,6/23/20,20242868,42155
MY,116722232,252.61,6/24/20,6387310,42369
MY,116724519,252.61,6/24/20,15075125,41210
MY,116725417,252.61,6/24/20,6539284,41100
MY,116726399,252.61,6/24/20,7445297,43430
MY,116734237,252.61,6/25/20,6843321,44011
MY,116737867,252.61,6/25/20,10263037,42848
MY,116745241,252.61,6/26/20,19157523,41210
MY,116748674,252.61,6/26/20,7542355,42955
MY,116748757,252.61,6/26/20,29136129,43934
