MYRON_COMPANY_CODE,MYRON_ACCT,ORDER,ORDER_WEEK,PS_WEEK,orders,bookings,CODE_ORDER_STATUS,DATE_PROMISED_SHIP,PRODUCT_PLATFORM,PRODUCT_PLATFORM_GROUP,YRSTRADED,OPENINGPLATFORM,SEGMENTSHORTDESC,STATUS,SHIPPING_STATE,PSD_TYPE,CODE_ORDER_STATUS2,paymentytype,rddesc,PROD_AVAIL_DATE_ISO,PROMISED_SHIP_DATE_ISO,NonDated_bookings,Non Dated Orders
MY,10370450,116228354,10,27,1,752.85,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7395166,115565160,2,27,1,752.5,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MT,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7396079,116016726,7,27,1,749.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MI,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7320148,115603201,2,27,1,745.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,NM,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7369357,115522187,1,27,1,745.17,PP,7/1/20,DTD01,DATED,9,Date Logs,Repeat,Active,VA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6766645,115699506,3,27,1,743.2,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,TX,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,26918658,115639346,2,27,1,740.45,PP,7/1/20,DTD01,DATED,5,Dated,Repeat,Active,MA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6304848,115695611,3,27,1,738.15,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MN,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,12298628,115543233,1,27,1,737.71,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,VA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7041093,115699936,3,27,1,736.05,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,PR,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6872501,115636979,2,27,1,734.58,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6624890,115544462,1,27,1,731.21,HL,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,SC,Fu,HL,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,6992460,115576613,2,27,1,729.37,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MN,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
